0.000000000000000000e+00,-1.476069999999999993e+00,3.243760000000000393e-02,3.830290000000000084e-01,-1.251931117860487935e-04,-1.624679216304542170e-03,1.120597574762397051e-03
2.000000000000000042e-02,-1.476080000000000059e+00,3.245590000000000280e-02,3.830509999999999748e-01,-3.502396403480269690e-05,-1.680577084742538229e-03,6.018075163798848083e-04
4.000000000000000083e-02,-1.476069999999999993e+00,3.238940000000000569e-02,3.830600000000000116e-01,5.514518370581050701e-05,-1.736474953180098440e-03,8.301745799843715751e-05
5.999999999999999778e-02,-1.476069999999999993e+00,3.232000000000000151e-02,3.830439999999999956e-01,8.169552819439779290e-02,-8.566460500522350046e-04,1.740252256756004553e-03
8.000000000000000167e-02,-1.476069999999999993e+00,3.233070000000000388e-02,3.830419999999999936e-01,3.638205206263385172e-01,1.851783313077692752e-03,4.707706931063873439e-03
1.000000000000000056e-01,-1.467997668639053455e+00,3.239612319526627426e-02,3.832333266272189287e-01,7.290210563548575884e-01,4.513002738174505361e-03,7.901277457963490000e-03
1.199999999999999956e-01,-1.444020674556213191e+00,3.253119278106508805e-02,3.834323065088757199e-01,1.042028762007858322e+00,6.058418330003780689e-03,9.901965952085761344e-03
1.400000000000000133e-01,-1.420043680473372927e+00,3.266626236686390877e-02,3.836312863905325110e-01,1.200641922510154558e+00,6.763575392555632067e-03,9.963867314975345668e-03
1.600000000000000033e-01,-1.396066686390532663e+00,3.280133195266272256e-02,3.838302662721893022e-01,1.195467098877999401e+00,6.734424061819113336e-03,9.920922574264310137e-03
1.799999999999999933e-01,-1.372089692307692399e+00,3.293640153846153634e-02,3.840292461538461488e-01,1.198061291518002669e+00,6.749037925598575481e-03,9.942451217209501840e-03
2.000000000000000111e-01,-1.348112698224852135e+00,3.307147112426035707e-02,3.842282260355029400e-01,1.211480855864425665e+00,6.824634349053886051e-03,1.005381727570338161e-02
2.200000000000000011e-01,-1.324135704142012093e+00,3.320654071005917085e-02,3.844272059171597311e-01,1.202760024906869507e+00,6.775507297464886981e-03,9.981444988089017631e-03
2.399999999999999911e-01,-1.300158710059171829e+00,3.334161029585799157e-02,3.846261857988165223e-01,1.202644344258878339e+00,6.774855633742702180e-03,9.980484979442330595e-03
2.600000000000000089e-01,-1.276181715976331565e+00,3.347667988165680536e-02,3.848251656804733689e-01,1.187567775448987284e+00,6.689924808077794653e-03,9.855367799731578130e-03
2.800000000000000266e-01,-1.252204721893491302e+00,3.361174946745561914e-02,3.850241455621301601e-01,1.193864302584220161e+00,6.725395030457947260e-03,9.907621314908816174e-03
2.999999999999999889e-01,-1.228227727810651038e+00,3.374681905325443987e-02,3.852231254437869512e-01,1.202158905253726928e+00,6.772121010498044144e-03,9.976456426259902241e-03
