1770177449438978565,16,16,14,15,0,0,0,0
1770177449459061313,16,16,14,15,0,0,0,0
1770177449479139614,16,16,14,15,0,0,0,0
1770177449499217370,16,16,14,15,0,0,0,0
1770177449519293398,16,16,14,15,0,0,0,0
1770177449539370547,16,16,14,15,0,0,0,0
1770177449559447567,16,16,14,15,0,0,0,0
1770177449579524683,16,16,14,15,0,0,0,0
1770177449599596328,16,16,14,15,0,0,0,0
1770177449619673924,16,16,14,15,0,0,0,0
1770177449639750496,16,16,14,15,0,0,0,0
1770177449659826013,16,16,14,15,0,0,0,0
1770177449679903289,16,16,14,15,0,0,0,0
1770177449699980501,16,16,14,15,0,0,0,0
1770177449720056082,16,16,14,15,0,0,0,0
1770177449740131566,16,16,14,15,0,0,0,0
1770177449760213450,16,16,14,15,0,0,0,0
1770177449780289671,16,16,14,15,0,0,0,0
1770177449800363171,16,16,14,15,0,0,0,0
1770177449820438367,16,16,14,15,0,0,0,0
1770177449840514491,16,16,14,15,0,0,0,0
1770177449860590648,16,16,14,15,0,0,0,0
1770177449880671380,16,16,14,15,0,0,0,0
1770177449900747568,16,16,14,15,0,0,0,0
1770177449920819725,16,16,14,15,0,0,0,0
1770177449940893385,16,16,14,15,0,0,0,0
1770177449960971269,16,16,14,15,0,0,0,0
1770177449981046850,16,16,14,15,0,0,0,0
1770177450001134750,16,16,14,15,0,0,0,0
1770177450021212826,16,16,14,15,0,0,0,0
1770177450041288311,16,16,14,15,0,0,0,0
1770177450061368211,16,16,14,15,0,0,0,0
1770177450081438639,16,16,14,15,0,0,0,0
1770177450101514700,16,16,14,15,0,0,0,0
1770177450121592264,16,16,14,15,0,0,0,0
1770177450141669796,16,16,14,15,0,0,0,0
1770177450161742881,16,16,14,15,0,0,0,0
1770177450181820925,16,16,14,15,0,0,0,0
1770177450201897977,16,16,14,15,0,0,0,0
1770177450221975478,16,16,14,15,0,0,0,0
1770177450242054834,16,16,14,15,0,0,0,0
1770177450262133006,16,16,14,15,0,0,0,0
1770177450282210763,16,16,14,15,0,0,0,0
1770177450302286855,16,16,14,15,0,0,0,0
1770177450322357603,16,16,14,15,0,0,0,0
1770177450342436287,16,16,14,15,0,0,0,0
1770177450362512668,16,16,14,15,0,0,0,0
1770177450382585112,16,16,14,15,0,0,0,0
1770177450402662420,16,16,14,15,0,0,0,0
1770177450422736497,16,16,14,15,0,0,0,0
1770177450442815917,16,16,14,15,0,0,0,0
1770177450462895529,16,16,14,15,0,0,0,0
1770177450482972614,16,16,14,15,0,0,0,0
1770177450503050178,16,16,14,15,0,0,0,0
1770177450523125278,16,16,14,15,0,0,0,0
1770177450543202235,16,16,14,15,0,0,0,0
1770177450563273015,16,16,14,15,0,0,0,0
1770177450583352115,16,16,14,15,0,0,0,0
1770177450603429871,16,16,14,15,0,0,0,0
1770177450623502668,16,16,14,15,0,0,0,0
1770177450643574952,16,16,14,15,0,0,0,0
1770177450663653668,16,16,14,15,0,0,0,0
1770177450683724801,16,16,14,15,0,0,0,0
1770177450703798909,16,16,14,15,0,0,0,0
1770177450723875129,16,16,14,15,0,0,0,0
1770177450743953237,16,16,14,15,0,0,0,0
1770177450764030674,16,16,14,15,0,0,0,0
1770177450784106094,16,16,14,15,0,0,0,0
1770177450804184778,16,16,14,15,0,0,0,0
1770177450824258695,16,16,14,15,0,0,0,0
1770177450844335843,16,16,14,15,0,0,0,0
1770177450864406335,16,16,14,15,0,0,0,0
1770177450884483996,16,16,14,15,0,0,0,0
1770177450904560344,16,16,14,15,0,0,0,0
1770177450924633780,16,16,14,15,0,0,0,0
