1770257263137555129,46,44,47,42,0,0,0,0
1770257263137751742,46,44,47,42,0,0,0,0
1770257263138275593,46,44,47,42,0,0,0,0
1770257263140050960,46,44,47,42,0,0,0,0
1770257263141884888,46,44,48,42,0,0,0,0
1770257263144322445,46,44,48,42,0,0,0,0
1770257263146220919,46,44,48,42,0,0,0,0
1770257263148275268,46,44,47,42,0,0,0,0
1770257263150148589,46,44,47,42,0,0,0,0
1770257263152280604,46,44,47,42,0,0,0,0
1770257263153942464,46,44,47,42,0,0,0,0
1770257263156118352,46,44,47,43,0,0,0,0
1770257263158052378,46,44,47,43,0,0,0,0
1770257263159846945,46,44,47,43,0,0,0,0
1770257263162094706,46,44,47,42,0,0,0,0
1770257263163935611,46,44,47,42,0,0,0,0
1770257263165811748,46,44,47,42,0,0,0,0
1770257263167982547,46,44,47,42,0,0,0,0
1770257263169838556,46,44,47,42,0,0,0,0
1770257263171969930,46,44,47,42,0,0,0,0
1770257263173859732,46,44,47,42,0,0,0,0
1770257263176128421,46,44,47,42,0,0,0,0
1770257263178372790,46,44,47,42,0,0,0,0
1770257263180202238,46,44,47,42,0,0,0,0
1770257263182199594,46,44,47,42,0,0,0,0
1770257263184341817,46,44,47,42,0,0,0,0
1770257263186541833,46,44,47,42,0,0,0,0
1770257263188334480,46,44,47,42,0,0,0,0
1770257263190369405,46,44,47,42,0,0,0,0
1770257263194119631,46,44,47,42,0,0,0,0
1770257263194805790,46,44,47,42,0,0,0,0
1770257263196160412,46,44,47,42,0,0,0,0
1770257263198063557,46,44,47,42,0,0,0,0
1770257263200028464,46,44,47,42,0,0,0,0
1770257263201898777,46,44,47,42,0,0,0,0
1770257263204135722,46,44,47,42,0,0,0,0
1770257263206050484,46,44,47,42,0,0,0,0
1770257263208245476,46,44,47,42,0,0,0,0
1770257263210380563,46,44,47,42,0,0,0,0
1770257263212586595,46,44,47,42,0,0,0,0
1770257263214389002,46,44,47,42,0,0,0,0
1770257263216201906,46,44,47,42,0,0,0,0
1770257263218261663,46,44,47,42,0,0,0,0
1770257263220162057,46,45,47,42,0,0,0,0
1770257263222106003,46,45,47,42,0,0,0,0
1770257263224070398,46,45,47,42,0,0,0,0
1770257263225935559,46,44,47,42,0,0,0,0
1770257263228292859,46,44,47,42,0,0,0,0
