1770257263147660566,0,-0,-0
1770257263167654028,0,-0,-0
1770257263187746884,0,-0,-0
1770257263207870108,0,-0,-0
1770257263228051605,0,-0,-0
1770257263248055755,0,-0,-0
1770257263268088641,0,-0,-0
1770257263288233658,0,-0,-0
1770257263308223664,0,-0,-0
1770257263328292295,0,-0,-0
1770257263348484737,0,-0,-0
1770257263368637209,0,-0,-0
1770257263388531245,0,-0,-0
1770257263408639653,0,-0,-0
1770257263428669563,0,-0,-0
1770257263448745874,0,-0,-0
1770257263468878187,0,-0,-0
1770257263488890945,0,-0,-0
1770257263508977944,0,-0,-0
1770257263529080048,0,-0,-0
1770257263549161415,0,-0,-0
1770257263569208702,0,-0,-0
1770257263589342071,0,-0,-0
1770257263609417390,0,-0,-0
1770257263629589319,0,-0,-0
1770257263649743136,0,-0,-0
1770257263669745334,0,-0,-0
1770257263689664010,0,-0,-0
1770257263709800994,0,-0,-0
1770257263729829304,0,-0,-0
1770257263749912688,0,-0,-0
1770257263770018792,0,-0,-0
1770257263790098815,0,-0,-0
1770257263810091509,0,-0,-0
1770257263830163276,0,-0,-0
1770257263850246851,0,-0,-0
1770257263870366683,0,-0,-0
1770257263890452211,0,-0,-0
1770257263910511082,0,-0,-0
1770257263930606082,0,-0,-0
1770257263950648024,0,-0,-0
1770257263970691983,0,-0,-0
1770257263990771302,0,-0,-0
1770257264010901694,0,-0,-0
1770257264030917972,0,-0,-0
1770257264050993356,0,-0,-0
1770257264071061667,0,-0,-0
1770257264091195803,0,-0,-0
1770257264111293459,0,-0,-0
1770257264131292649,0,-0,-0
1770257264151381664,0,-0,-0
1770257264171607419,0,-0,-0
1770257264191721459,0,-0,-0
1770257264211675207,0,-0,-0
1770257264231809536,0,-0,-0
1770257264251769877,0,-0,-0
1770257264271936846,0,-0,-0
1770257264291881890,0,-0,-0
1770257264312021723,0,-0,-0
1770257264332029393,0,-0,-0
1770257264352148585,0,-0,-0
1770257264372178559,0,-0,-0
1770257264392259991,0,-0,-0
1770257264412336526,0,-0,-0
1770257264432396101,0,-0,-0
1770257264452449340,0,-0,-0
1770257264472559668,0,-0,-0
1770257264492696364,0,-0,-0
1770257264512732067,0,-0,-0
1770257264532805274,0,-0,-0
1770257264552835984,0,-0,-0
1770257264572879879,0,-0,-0
1770257264593072224,0,-0,-0
1770257264613046550,0,-0,-0
1770257264633183086,0,-0,-0
1770257264653235941,0,-0,-0
1770257264673283868,0,-0,-0
1770257264693348211,0,-0,-0
1770257264713452650,0,-0,-0
1770257264733522594,0,-0,-0
1770257264753863679,0,-0,-0
1770257264773830452,0,-0,-0
1770257264793798664,0,-0,-0
1770257264813828863,0,-0,-0
1770257264833935159,0,-0,-0
1770257264853930156,0,-0,-0
1770257264874049924,0,-0,-0
1770257264894116155,0,-0,-0
1770257264914144914,0,-0,-0
1770257264934244393,0,-0,-0
1770257264954322049,0,-0,-0
1770257264974417816,0,-0,-0
1770257264994437935,0,-0,-0
1770257265014558823,0,-0,-0
1770257265034683007,0,-0,-0
1770257265054709013,0,-0,-0
1770257265074841902,0,-0,-0
1770257265094999911,0,-0,-0
1770257265115005629,0,-0,-0
1770257265134991506,0,-0,-0
1770257265155114890,0,-0,-0
1770257265175266723,0,-0,-0
1770257265195247256,0,-0,-0
1770257265215369105,0,-0,-0
1770257265235393671,0,-0,-0
1770257265255447421,0,-0,-0
1770257265275704633,0,-0,-0
1770257265295810257,0,-0,-0
1770257265315785670,0,-0,-0
1770257265335897374,0,-0,-0
1770257265356132632,0,-0,-0
1770257265376242096,0,-0,-0
1770257265396013377,0,-0,-0
1770257265416124601,0,-0,-0
1770257265436174096,0,-0,-0
1770257265456291784,0,-0,-0
1770257265476524483,0,-0,-0
1770257265496391669,0,-0,-0
1770257265516481069,0,-0,-0
1770257265536529956,0,-0,-0
1770257265556622331,0,-0,-0
1770257265576619025,0,-0,-0
1770257265596792330,0,-0,-0
1770257265616912770,0,-0,-0
1770257265636900184,0,-0,-0
1770257265656939886,0,-0,-0
1770257265677125960,0,-0,-0
1770257265697117565,0,-0,-0
1770257265717190357,0,-0,-0
1770257265737354574,0,-0,-0
1770257265757392068,0,-0,-0
1770257265777470075,0,-0,-0
1770257265797495122,0,-0,-0
1770257265817629066,0,-0,-0
1770257265837803652,0,-0,-0
1770257265857813017,0,-0,-0
1770257265877832463,0,-0,-0
1770257265897910631,0,-0,-0
1770257265917889180,0,-0,-0
1770257265937958995,0,-0,-0
1770257265958106764,0,-0,-0
1770257265978154947,0,-0,-0
1770257265998213305,0,-0,-0
1770257266018265840,0,-0,-0
1770257266038443338,0,-0,-0
1770257266058382270,0,-0,-0
1770257266078478166,0,-0,-0
1770257266098572685,0,-0,-0
1770257266118696614,0,-0,-0
1770257266138724700,0,-0,-0
1770257266158780019,0,-0,-0
1770257266178867530,0,-0,-0
1770257266198928865,0,-0,-0
1770257266219077818,0,-0,-0
1770257266239041583,0,-0,-0
1770257266259101478,0,-0,-0
1770257266279274431,0,-0,-0
1770257266299339734,0,-0,-0
1770257266319430670,0,-0,-0
1770257266339453316,0,-0,-0
1770257266359525787,0,-0,-0
1770257266379721717,0,-0,-0
1770257266399757579,0,-0,-0
1770257266419839555,0,-0,-0
1770257266439807256,0,-0,-0
1770257266459950736,0,-0,-0
1770257266479985095,0,-0,-0
1770257266500032541,0,-0,-0
1770257266520078164,0,-0,-0
1770257266540267246,0,-0,-0
1770257266560248163,0,-0,-0
1770257266580442333,0,-0,-0
1770257266600533204,0,-0,-0
1770257266620512169,0,-0,-0
1770257266640653506,0,-0,-0
1770257266660730553,0,-0,-0
1770257266680743311,0,-0,-0
1770257266700791590,0,-0,-0
1770257266720897534,0,-0,-0
1770257266741040215,0,-0,-0
1770257266761119086,0,-0,-0
1770257266781199397,0,-0,-0
1770257266801281341,0,-0,-0
1770257266821304179,0,-0,-0
1770257266841333385,0,-0,-0
1770257266861454401,0,-0,-0
1770257266881713501,0,-0,-0
1770257266901762803,0,-0,-0
1770257266921580037,0,-0,-0
1770257266941784671,0,-0,-0
1770257266961777012,0,-0,-0
1770257266981819627,0,-0,-0
1770257267001920835,0,-0,-0
1770257267021966649,0,-0,-0
1770257267042133555,0,-0,-0
1770257267062166153,0,-0,-0
1770257267082236512,0,-0,-0
1770257267102270839,0,-0,-0
1770257267122433264,0,-0,-0
1770257267142421253,0,-0,-0
1770257267162541981,0,-0,-0
1770257267182610324,0,-0,-0
1770257267202680844,0,-0,-0
1770257267222879525,0,-0,-0
1770257267242842874,0,-0,-0
1770257267262885297,0,-0,-0
1770257267282984745,0,-0,-0
1770257267303011327,0,-0,-0
1770257267323110871,0,-0,-0
1770257267343252207,0,-0,-0
1770257267363278277,0,-0,-0
1770257267383405502,0,-0,-0
1770257267403501526,0,-0,-0
1770257267423562925,0,-0,-0
1770257267443714021,0,-0,-0
1770257267463719195,0,-0,-0
1770257267483767922,0,-0,-0
1770257267503863209,0,-0,-0
1770257267524001570,0,-0,-0
1770257267543972119,0,-0,-0
1770257267564156177,0,-0,-0
1770257267584118438,0,-0,-0
1770257267604295007,0,-0,-0
1770257267624235891,0,-0,-0
1770257267644378668,0,-0,-0
1770257267664382434,0,-0,-0
1770257267684491226,0,-0,-0
1770257267704549073,0,-0,-0
1770257267724749515,0,-0,-0
1770257267744695967,0,-0,-0
1770257267764768502,0,-0,-0
1770257267784832045,0,-0,-0
1770257267804905988,0,-0,-0
1770257267824993756,0,-0,-0
1770257267845103092,0,-0,-0
