0.000000000000000000e+00,-1.529720000000000027e+03,9.864819999999999922e+00,3.887409999999999854e+02,9.989930000000000199e-01,1.033300000000000017e-03,4.447750000000000314e-02,-5.759369999999999767e-03
2.000000000000000042e-02,-1.529730000000000018e+03,9.908870000000000289e+00,3.887359999999999900e+02,9.989940000000000486e-01,1.000770000000000002e-03,4.446909999999999752e-02,-5.663650000000000108e-03
4.000000000000000083e-02,-1.529740000000000009e+03,9.852149999999999963e+00,3.887470000000000141e+02,9.989940000000000486e-01,1.162190000000000011e-03,4.445260000000000183e-02,-5.753099999999999707e-03
5.999999999999999778e-02,-1.529730000000000018e+03,9.805009999999999337e+00,3.887060000000000173e+02,9.989919999999999911e-01,1.155350000000000084e-03,4.449899999999999689e-02,-5.837959999999999677e-03
8.000000000000000167e-02,-1.529630000000000109e+03,9.863730000000000331e+00,3.890500000000000114e+02,9.990499999999999936e-01,1.326769999999999903e-03,4.320559999999999679e-02,-5.571249999999999813e-03
1.000000000000000056e-01,-1.528619999999999891e+03,1.029369999999999941e+01,3.885480000000000018e+02,9.990320000000000311e-01,1.462570000000000059e-03,4.368949999999999917e-02,-4.872020000000000343e-03
1.199999999999999956e-01,-1.526950000000000045e+03,1.115290000000000070e+01,3.880099999999999909e+02,9.989789999999999504e-01,5.137819999999999540e-04,4.497980000000000034e-02,-4.107829999999999815e-03
1.400000000000000133e-01,-1.524900000000000091e+03,1.183610000000000007e+01,3.877989999999999782e+02,9.990019999999999456e-01,9.353599999999999892e-04,4.452339999999999770e-02,-3.313180000000000205e-03
1.600000000000000033e-01,-1.521690000000000055e+03,1.245170000000000066e+01,3.866870000000000118e+02,9.989479999999999471e-01,2.343389999999999883e-03,4.574079999999999813e-02,-2.346790000000000074e-03
1.799999999999999933e-01,-1.517240000000000009e+03,1.345040000000000013e+01,3.849449999999999932e+02,9.988500000000000156e-01,2.549839999999999832e-03,4.783840000000000314e-02,-1.724520000000000003e-03
2.000000000000000111e-01,-1.511109999999999900e+03,1.432850000000000001e+01,3.817869999999999777e+02,9.986669999999999714e-01,2.310630000000000149e-03,5.153930000000000317e-02,-1.788400000000000102e-03
2.200000000000000011e-01,-1.503490000000000009e+03,1.602629999999999910e+01,3.778759999999999764e+02,9.984260000000000357e-01,-1.103280000000000103e-03,5.603629999999999722e-02,-2.235099999999999847e-03
2.399999999999999911e-01,-1.494720000000000027e+03,1.800529999999999831e+01,3.741929999999999836e+02,9.982109999999999594e-01,-4.529280000000000111e-03,5.954580000000000289e-02,-2.792380000000000122e-03
2.600000000000000089e-01,-1.485150000000000091e+03,1.826190000000000069e+01,3.715210000000000150e+02,9.981339999999999657e-01,-8.719399999999999764e-04,6.095810000000000117e-02,-3.346319999999999850e-03
2.800000000000000266e-01,-1.474609999999999900e+03,1.768420000000000059e+01,3.699169999999999732e+02,9.981229999999999825e-01,4.111720000000000132e-03,6.093400000000000205e-02,-4.455660000000000176e-03
2.999999999999999889e-01,-1.462950000000000045e+03,1.724109999999999943e+01,3.689449999999999932e+02,9.981510000000000105e-01,7.106020000000000218e-03,6.015140000000000070e-02,-5.112590000000000190e-03
3.200000000000000067e-01,-1.449950000000000045e+03,1.708849999999999980e+01,3.681429999999999723e+02,9.981870000000000465e-01,7.381369999999999945e-03,5.947790000000000021e-02,-5.553319999999999611e-03
3.400000000000000244e-01,-1.435710000000000036e+03,1.772970000000000113e+01,3.674110000000000014e+02,9.982499999999999707e-01,3.513979999999999881e-03,5.871139999999999692e-02,-6.092769999999999957e-03
3.599999999999999867e-01,-1.420140000000000100e+03,1.827850000000000108e+01,3.663690000000000282e+02,9.982769999999999699e-01,1.347230000000000042e-03,5.828499999999999653e-02,-6.562049999999999828e-03
3.800000000000000044e-01,-1.403420000000000073e+03,1.821189999999999998e+01,3.655219999999999914e+02,9.983130000000000059e-01,2.035180000000000149e-03,5.761259999999999992e-02,-6.936099999999999731e-03
4.000000000000000222e-01,-1.386009999999999991e+03,1.782710000000000150e+01,3.649970000000000141e+02,9.983940000000000037e-01,4.453989999999999685e-03,5.608429999999999666e-02,-6.689139999999999669e-03
4.199999999999999845e-01,-1.368559999999999945e+03,1.771000000000000085e+01,3.652760000000000105e+02,9.985549999999999704e-01,5.445779999999999892e-03,5.305370000000000225e-02,-6.633049999999999710e-03
4.400000000000000022e-01,-1.351650000000000091e+03,1.723699999999999832e+01,3.664049999999999727e+02,9.987880000000000091e-01,8.344239999999999297e-03,4.805650000000000199e-02,-6.521510000000000327e-03
