SHAPE:50,500,12
-4.022442869584388209e-02,6.459667919604780151e-01,-1.650063937233956723e+00,-4.860279853885259016e-02,1.013401514982035234e+00,-2.026831718330602605e+00,-5.022984082180195764e-02,1.097362314311801201e+00,-1.870428562496630143e+00,-3.864816257285919737e-02,7.653517053133209735e-01,-1.591925212091182429e+00
-3.895611649844606117e-02,6.269173616528921356e-01,-1.656376759333025861e+00,-4.812304431672072280e-02,1.010146490340555037e+00,-2.030169858965546581e+00,-4.438024420961943911e-02,1.081811595482728539e+00,-1.857913585895327069e+00,-3.849380233220693615e-02,7.668740071834400096e-01,-1.590628502060427163e+00
-4.360268527731226557e-02,6.322672569822515021e-01,-1.662636898302974897e+00,-4.947207428749669095e-02,1.006449471227800485e+00,-2.023282256783631272e+00,-4.527271940561157504e-02,1.079054177363979905e+00,-1.858181086479830268e+00,-3.829625214455367049e-02,7.649129677595351007e-01,-1.587012622322714339e+00
-4.496533730192063538e-02,6.308245237897607272e-01,-1.670333464590730843e+00,-4.906187879310978245e-02,1.004433074554009320e+00,-2.017597391215068647e+00,-3.848046227165294320e-02,1.077860979838610955e+00,-1.848937298422304032e+00,-3.931084298542129873e-02,7.632809745458766226e-01,-1.579780016525893949e+00
-4.758026651421273789e-02,6.313809771424315764e-01,-1.678956177556384599e+00,-4.976536278096414107e-02,9.992990555918145335e-01,-2.009533126826855920e+00,-3.891877888223886639e-02,1.075258000470074693e+00,-1.844140934810831078e+00,-3.758988244157224212e-02,7.637927529171423258e-01,-1.572898154346846100e+00
-5.026879720735787788e-02,6.315319390490045093e-01,-1.688089887578528403e+00,-4.899529273340031549e-02,9.975011097575802177e-01,-2.003969455145524492e+00,-3.488836317745681870e-02,1.068701676698179615e+00,-1.834972654114180424e+00,-3.965286091832186111e-02,7.631228440539549185e-01,-1.565770992492756530e+00
-5.290536883229197268e-02,6.320135859546631707e-01,-1.697500863080404709e+00,-4.989765616829885952e-02,9.911060438907710601e-01,-1.994578509203199790e+00,-3.380240366327066232e-02,1.067741574412372163e+00,-1.830099691196644507e+00,-3.667283267258322071e-02,7.634915385507162755e-01,-1.558327271516571244e+00
-5.585174053448815901e-02,6.323579748328940209e-01,-1.707556924095515960e+00,-4.878802796371983080e-02,9.898166670497852149e-01,-1.989276371803372578e+00,-2.894837217204608570e-02,1.059945300057089979e+00,-1.819500681438927403e+00,-3.459435805079594944e-02,7.628979006987600675e-01,-1.551281476511207513e+00
-5.866808094980349025e-02,6.330343712699124659e-01,-1.717850906433428193e+00,-4.992130407558661304e-02,9.819865654117294618e-01,-1.978314036554487787e+00,-2.799981593165174615e-02,1.059462009668313831e+00,-1.814603217244648015e+00,-3.568484260189492413e-02,7.638579063608395003e-01,-1.542062708103497881e+00
-6.182919756811078305e-02,6.335614155771109868e-01,-1.728807350290108458e+00,-5.167531899677766521e-02,9.797446371040076096e-01,-1.972591940146019018e+00,-2.256238164725054077e-02,1.050492324936338484e+00,-1.802668475454998198e+00,-3.442260705689360878e-02,7.625931294370379421e-01,-1.535134009854932202e+00
-6.481987414343493015e-02,6.344688296439358055e-01,-1.739989773605568280e+00,-4.869905034302876579e-02,9.734145339371880201e-01,-1.962748803566484845e+00,-2.146489154293750728e-02,1.050129892434042089e+00,-1.797517405680159497e+00,-3.526470490925073115e-02,7.641788191817090459e-01,-1.524855943073960551e+00
-6.817633950258446263e-02,6.352126127069139816e-01,-1.751830538004018001e+00,-4.889402941631890848e-02,9.694927246149536160e-01,-1.954789558302261865e+00,-1.572234077581530221e-02,1.040429935764061620e+00,-1.784652720510967017e+00,-3.396824485671429833e-02,7.625316334617895375e-01,-1.517949488406971525e+00
-7.133087567353288416e-02,6.363782196866677454e-01,-1.763898818541703495e+00,-4.912402686672133478e-02,9.630502496162924864e-01,-1.944531530028290378e+00,-1.412475560614755501e-02,1.039612831064686382e+00,-1.778803596855757618e+00,-3.486739614607303056e-02,7.646991313809863300e-01,-1.506710439560302817e+00
-7.485871930210502567e-02,6.373784781323396098e-01,-1.776599142799464515e+00,-4.861401042482880325e-02,9.587999349142921623e-01,-1.936246092917453643e+00,-8.368953855824229349e-03,1.029655527504200974e+00,-1.765448305237914184e+00,-3.337241035330374556e-02,7.627011850140139604e-01,-1.499952737732200392e+00
