1770177449438978565,-0.0402244,0.645967,-1.65006,-0.0486028,1.0134,-2.02683,-0.0502298,1.09736,-1.87043,-0.0386482,0.765352,-1.59193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770177449459061313,-0.0389561,0.626917,-1.65638,-0.048123,1.01015,-2.03017,-0.0443802,1.08181,-1.85791,-0.0384938,0.766874,-1.59063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770177449479139614,-0.0436027,0.632267,-1.66264,-0.0494721,1.00645,-2.02328,-0.0452727,1.07905,-1.85818,-0.0382963,0.764913,-1.58701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770177449499217370,-0.0449653,0.630825,-1.67033,-0.0490619,1.00443,-2.0176,-0.0384805,1.07786,-1.84894,-0.0393108,0.763281,-1.57978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770177449519293398,-0.0475803,0.631381,-1.67896,-0.0497654,0.999299,-2.00953,-0.0389188,1.07526,-1.84414,-0.0375899,0.763793,-1.5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770177449539370547,-0.0502688,0.631532,-1.68809,-0.0489953,0.997501,-2.00397,-0.0348884,1.0687,-1.83497,-0.0396529,0.763123,-1.56577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770177449559447567,-0.0529054,0.632014,-1.6975,-0.0498977,0.991106,-1.99458,-0.0338024,1.06774,-1.8301,-0.0366728,0.763492,-1.55833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770177449579524683,-0.0558517,0.632358,-1.70756,-0.048788,0.989817,-1.98928,-0.0289484,1.05995,-1.8195,-0.0345944,0.762898,-1.55128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770177449599596328,-0.0586681,0.633034,-1.71785,-0.0499213,0.981987,-1.97831,-0.0279998,1.05946,-1.8146,-0.0356848,0.763858,-1.54206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770177449619673924,-0.0618292,0.633561,-1.72881,-0.0516753,0.979745,-1.97259,-0.0225624,1.05049,-1.80267,-0.0344226,0.762593,-1.53513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770177449639750496,-0.0648199,0.634469,-1.73999,-0.0486991,0.973415,-1.96275,-0.0214649,1.05013,-1.79752,-0.0352647,0.764179,-1.52486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770177449659826013,-0.0681763,0.635213,-1.75183,-0.048894,0.969493,-1.95479,-0.0157223,1.04043,-1.78465,-0.0339682,0.762532,-1.51795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
