1770177449438978565,0.95129,-0.00311795,0.00749495,-0.30819,-0.00532632,-0.0276969,-0.00639159,-0.0047884,-0.0897826,9.51097
1770177449459061313,0.951285,-0.0030931,0.00751732,-0.308205,-0.0191748,0.00426106,0.00426106,-0.0299275,-0.137667,9.54688
1770177449479139614,0.951274,-0.00321675,0.00757505,-0.308236,-0.0394148,0.00319579,-0.0117179,0.0323217,-0.180762,9.46548
1770177449499217370,0.95126,-0.00328204,0.0075852,-0.30828,0.00426106,-0.00426106,0.00745685,0.0023942,-0.326809,9.51336
1770177449519293398,0.951289,-0.00317765,0.00759161,-0.308192,-0.0191748,-0.00532632,0.00852211,-0.011971,-0.220267,9.2093
1770177449539370547,0.951267,-0.0031963,0.00757216,-0.308259,-0.00852211,-0.0138484,-0.015979,-0.0658405,-0.0694318,9.40682
1770177449559447567,0.951272,-0.00317553,0.00755058,-0.308245,0.0106526,-0.00852211,-0.00213053,0.011971,-0.281319,9.47266
1770177449579524683,0.951264,-0.00312023,0.00757782,-0.30827,-0.0127832,0.00852211,-0.00532632,-0.0347159,-0.213084,9.4954
1770177449599596328,0.951255,-0.00303569,0.00762646,-0.308296,-0.00958738,-0.00639159,-0.00213053,-0.0454898,-0.229843,9.55406
1770177449619673924,0.951268,-0.0031176,0.00761183,-0.308256,-0.0276969,-0.0181095,-0.0117179,-0.0107739,0.0790087,9.50019
1770177449639750496,0.951253,-0.00290117,0.00755789,-0.308304,0.0319579,0.00106526,-0.0127832,-0.0335188,-0.180762,9.51336
1770177449659826013,0.951253,-0.00276641,0.00748734,-0.308307,-0.0106526,-0.02024,-0.0117179,-0.0251391,-0.1652,9.22246
1770177449679903289,0.951242,-0.00290021,0.00750774,-0.30834,-0.0276969,-0.015979,-0.0170442,-0.0191536,-0.175974,9.50618
1770177449699980501,0.951241,-0.00303546,0.00753277,-0.30834,-0.0266316,-0.0127832,0.00213053,-0.0742203,-0.209493,9.53012
1770177449720056082,0.951258,-0.00312331,0.00760743,-0.308286,-0.0234358,0.0181095,-0.00745685,-0.0526724,-0.0610521,9.42118
1770177449740131566,0.951232,-0.00307419,0.00761374,-0.308366,-0.00319579,-0.0138484,-0.0191748,0.0383072,0.0323217,9.95509
1770177449760213450,0.951228,-0.00303383,0.00761618,-0.308379,-0.00426106,-0.0255663,0.00426106,-0.0466869,-0.269348,9.10635
1770177449780289671,0.951238,-0.00299169,0.00759549,-0.30835,-0.0106526,-0.0266316,-0.0117179,-0.114922,-0.204704,9.46069
1770177449800363171,0.951226,-0.00299929,0.00757473,-0.308389,-0.00532632,-0.0213053,-0.00426106,-0.0562637,-0.132878,9.34218
1770177449820438367,0.951229,-0.00298053,0.00757573,-0.308379,-0.0245011,0.00213053,-0.0117179,-0.071826,-0.023942,9.61751
1770177449840514491,0.951209,-0.00305013,0.00760907,-0.30844,-0.0170442,-0.00745685,-0.0149137,-0.0275333,-0.11971,9.22725
1770177449860590648,0.951196,-0.00298079,0.00765926,-0.308479,-0.0266316,-0.015979,0,-0.0826,-0.0191536,9.57322
1770177449880671380,0.951211,-0.00310484,0.00763247,-0.308432,-0.0138484,-0.0287621,-0.00639159,-0.0766145,-0.208296,9.59596
1770177449900747568,0.951213,-0.00304294,0.00759415,-0.308427,0.015979,-0.036219,-0.00852211,-0.0969652,-0.0454898,9.53012
1770177449920819725,0.951208,-0.00296807,0.00756173,-0.308443,0.00319579,-0.0117179,0.00639159,-0.0802058,-0.162806,9.47864
1770177449940893385,0.951202,-0.00281027,0.00757852,-0.308463,-0.0117179,-0.0213053,-0.00639159,-0.0323217,-0.152032,9.59835
1770177449960971269,0.951201,-0.00286651,0.00762094,-0.308463,-0.02024,0.00532632,0.00532632,-0.0035913,-0.272939,9.7851
1770177449981046850,0.951204,-0.00296103,0.00766702,-0.308454,-0.0308927,-0.00852211,-0.02024,-0.0682347,0.0167594,9.37809
1770177450001134750,0.951195,-0.00332089,0.00769067,-0.308477,-0.0223706,-0.0234358,-0.0234358,0.0011971,-0.222661,9.42118
1770177450021212826,0.951196,-0.00339587,0.00764636,-0.308474,-0.0255663,-0.0223706,-0.015979,-0.0682347,-0.197522,9.36372
1770177450041288311,0.95118,-0.00350513,0.00758122,-0.308522,0.00213053,-0.00426106,-0.00745685,-0.0790087,-0.301669,9.57322
1770177450061368211,0.951195,-0.00320014,0.00758332,-0.308481,0.02024,-0.0255663,-0.00852211,-0.158017,-0.0442927,9.55526
1770177450081438639,0.951181,-0.00320818,0.00758304,-0.308524,0.0234358,0.00532632,-0.00532632,-0.00718261,-0.306458,9.64983
1770177450101514700,0.951182,-0.00294267,0.0075934,-0.308524,0,0.00958738,-0.00639159,0.107739,-0.118513,9.65342
1770177450121592264,0.951159,-0.00294487,0.00754258,-0.308597,-0.0234358,-0.0372843,-0.0170442,-0.0981623,-0.0969652,9.71088
1770177450141669796,0.951169,-0.00299497,0.00749699,-0.308565,0.0106526,-0.02024,0.00106526,-0.0993594,-0.174777,9.4547
