1765575260112107546,438.775,4.94244,361.281,0.997835,0.00104919,0.0657402,-0.00186371
1765575260115452280,438.781,4.93646,361.273,0.997834,0.00109071,0.0657463,-0.00187397
1765575260118804428,438.779,4.93407,361.285,0.997834,0.00107591,0.0657532,-0.00189113
1765575260122168248,438.778,4.93664,361.282,0.997835,0.0010478,0.0657272,-0.00191532
1765575260125514144,438.78,4.94036,361.284,0.997836,0.00107448,0.06572,-0.0019033
1765575260128827559,438.78,4.93408,361.274,0.997835,0.00108564,0.065733,-0.00190925
1765575260132182112,438.79,4.93083,361.274,0.997834,0.00111284,0.0657408,-0.00189365
1765575260135530402,438.79,4.92773,361.28,0.997835,0.00110129,0.065732,-0.00189889
1765575260138881328,438.796,4.9269,361.27,0.997834,0.00111906,0.0657487,-0.00189292
1765575260142242984,438.795,4.91225,361.276,0.997834,0.0011297,0.0657383,-0.00191404
1765575260145852965,438.8,4.90862,361.264,0.997833,0.00107939,0.0657585,-0.00193642
1765575260148522232,438.797,4.90066,361.267,0.997834,0.00106945,0.0657372,-0.0019675
1765575260152492289,438.795,4.87561,361.264,0.997834,0.00111466,0.0657491,-0.00198048
1765575260156101800,438.792,4.87076,361.251,0.997831,0.00108692,0.0657928,-0.00198752
1765575260159368868,438.792,4.87043,361.251,0.997831,0.00107619,0.0657831,-0.00199935
1765575260161503142,438.793,4.86564,361.254,0.997831,0.00102017,0.0657916,-0.00201266
1765575260165268385,438.789,4.86165,361.271,0.997835,0.00114516,0.0657334,-0.00198266
1765575260168853750,438.787,4.85988,361.288,0.997837,0.00116925,0.0656985,-0.00197887
1765575260172322657,438.782,4.8646,361.281,0.997836,0.00115467,0.0657143,-0.00197647
1765575260175042228,438.773,4.87648,361.278,0.997836,0.00114473,0.0657145,-0.00195437
1765575260179074873,438.771,4.86273,361.293,0.997837,0.0012078,0.0656955,-0.00195685
1765575260182661811,438.779,4.88715,361.261,0.997832,0.00106761,0.0657734,-0.00194578
