1770256949513218381,-0.023745,0.909703,-1.78903,0.0106954,0.860926,-1.82285,-4.28073e-05,0.902521,-1.80614,-0.0140059,0.930044,-1.82096,-0.0503818,0,0.0141541,0.0310042,0.0155021,-0.0202201,-0.0387552,-0.0271287,0,-0.0465063,0.0503818,-0.00606604,2.07802,1.90485,8.39246,-1.36061,0.371074,6.63811,1.11322,-0.14843,6.11654,-1.73168,-0.247383,8.06056,0,0,0,0,0,0,0,0,0,0,0,0
1770256949513340943,-0.0236844,0.909703,-1.78902,0.0106954,0.860926,-1.82285,-4.28073e-05,0.902521,-1.80616,-0.0140665,0.930104,-1.82096,0.0426308,0,0.0485283,0.0310042,0.0271287,-0.00606604,0.0193776,-0.0193776,-0.0181981,-0.0387552,0.0968881,-0.00404402,2.0038,1.90485,8.48729,-1.36061,0.371074,6.63811,1.21218,-0.247383,6.21137,-1.73168,-0.247383,8.06056,0,0,0,0,0,0,0,0,0,0,0,0
1770256949514096992,-0.0236844,0.909672,-1.78905,0.0106954,0.860926,-1.82285,-4.28073e-05,0.902521,-1.80612,-0.0140665,0.930044,-1.82097,0.0465063,-0.0387552,-0.0222421,0.0310042,0.0232531,-0.0141541,0,0,0.0424623,-0.0387552,0,-0.0283082,1.90485,1.92959,8.39246,-1.36061,0.272121,6.68552,1.21218,-0.173168,6.02171,-1.4843,-0.247383,7.8709,0,0,0,0,0,0,0,0,0,0,0,0
1770256949516119628,-0.0237753,0.909672,-1.78906,0.0106348,0.860835,-1.82285,-4.28073e-05,0.902491,-1.80614,-0.0139756,0.929923,-1.82097,0,-0.0387552,-0.0343742,-0.0426308,-0.0116266,-0.0323522,0,-0.0542573,0.0222421,0.0348797,-0.0968881,-0.0101101,1.92959,1.88011,8.39246,-1.45956,0.247383,6.68552,1.28639,-0.247383,6.02171,-1.50904,-0.371074,8.01314,0,0,0,0,0,0,0,0,0,0,0,0
1770256949518360349,-0.0238358,0.909672,-1.78905,0.0106348,0.860835,-1.82284,1.77473e-05,0.902491,-1.80614,-0.0137939,0.929923,-1.821,0.0271287,-0.0155021,-0.0101101,0,-0.0155021,-0.0161761,0.0271287,-0.0503818,0.0242641,0.0271287,-0.0155021,-0.0586384,1.88011,1.90485,8.29763,-1.58325,0.272121,6.78035,1.21218,-0.247383,6.02171,-1.4843,-0.371074,7.96573,0,0,0,0,0,0,0,0,0,0,0,0
1770256949520502859,-0.0238964,0.909642,-1.78903,0.0106348,0.860804,-1.82284,1.77473e-05,0.902491,-1.80616,-0.0137939,0.929892,-1.821,-0.0465063,-0.0581329,0.0181981,-0.0193776,0,-0.0181981,0.00387552,0.0193776,-0.0161761,-0.0271287,0.0310042,-0.0566163,1.88011,1.88011,8.39246,-1.50904,0.272121,6.82777,1.18744,-0.247383,6.11654,-1.4843,-0.371074,7.8709,0,0,0,0,0,0,0,0,0,0,0,0
1770256949522356052,-0.0238056,0.909672,-1.78902,0.0106651,0.860835,-1.82284,-1.25282e-05,0.902461,-1.80614,-0.0137637,0.929832,-1.82097,0.0581329,0.0116266,-0.0384182,0,0.0697594,-0.0101101,-0.0581329,-0.0348797,0.0181981,-0.0116266,0.0852615,0,1.88011,1.88011,8.48729,-1.55851,0.247383,6.82777,1.21218,-0.173168,6.06913,-1.4843,-0.371074,7.8709,0,0,0,0,0,0,0,0,0,0,0,0
1770256949524218012,-0.0238056,0.909642,-1.78903,0.0106651,0.860804,-1.82285,-1.25282e-05,0.902431,-1.80616,-0.0137334,0.929801,-1.82097,0.0426308,0,0.0141541,0.0232531,-0.00775105,-0.0262862,-0.0465063,-0.0775105,-0.00202201,0.0116266,0.0465063,-0.0262862,1.88011,1.88011,8.39246,-1.58325,0.272121,6.78035,1.18744,-0.222645,6.06913,-1.45956,-0.420551,7.8709,0,0,0,0,0,0,0,0,0,0,0,0
1770256949526174791,-0.0238358,0.909642,-1.78903,0.0106651,0.860835,-1.82285,1.77473e-05,0.902461,-1.80614,-0.0137939,0.929862,-1.82096,-0.0116266,-0.0387552,0.0222421,0.00387552,0.0426308,-0.00808805,-0.0232531,0.0193776,0.0181981,-0.0426308,0.0968881,0,1.88011,1.88011,8.39246,-1.55851,0.272121,6.82777,1.21218,-0.247383,6.02171,-1.45956,-0.420551,7.8709,0,0,0,0,0,0,0,0,0,0,0,0
1770256949528160946,-0.0238056,0.909642,-1.78902,0.0106651,0.860804,-1.82285,-1.25282e-05,0.902431,-1.80614,-0.0137939,0.929862,-1.82097,0.0310042,-0.0426308,0.0444843,0.0503818,-0.0193776,-0.0202201,-0.0542573,-0.0348797,0.0101101,0.0310042,0.0232531,-0.0202201,1.88011,1.83063,8.39246,-1.55851,0.272121,6.78035,1.21218,-0.222645,6.02171,-1.45956,-0.445289,7.8709,0,0,0,0,0,0,0,0,0,0,0,0
